category,trait,trait_val,trait_val_clean,spp_gp,sheet,cat_vals
r (reproductive traits),fecundity,<1 - 2,<12,Bythaelurus spp. (8 spp),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Bythaelurus spp. (8 spp),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Bythaelurus spp. (8 spp),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Bythaelurus spp. (8 spp),elasmobranchs,NA
r (reproductive traits),parental investment,live birth and egg-layer (unattended),livebirthandegglayerunattended,Bythaelurus spp. (8 spp),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Bythaelurus spp. (8 spp),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Bythaelurus spp. (8 spp),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Bythaelurus spp. (8 spp),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Bythaelurus spp. (8 spp),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope",deepwaterdeepsoftbenthicsoftslopehardslope,Bythaelurus spp. (8 spp),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope",deepwaterdeepsoftbenthicsoftslopehardslope,Bythaelurus spp. (8 spp),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Bythaelurus spp. (8 spp),elasmobranchs,NA
spatial scale of species,depth (min/max),240 - 1020 m,2401020m,Bythaelurus spp. (8 spp),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Bythaelurus spp. (8 spp),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Bythaelurus spp. (8 spp),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Bythaelurus spp. (8 spp),elasmobranchs,NA
r (reproductive traits),fecundity,1 to 5,1to5,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky reef",deepwaterdeepsoftbenthicsoftslopehardsloperockyreef,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope",deepwaterdeepsoftbenthicsoftslopehardslope,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),0 - 700 m,0700m,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - >1000 mm,50>1000mm,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Cephaloscyllium spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,1 to 2,1to2,Cephalurus cephalus,elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Cephalurus cephalus,elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Cephalurus cephalus,elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Cephalurus cephalus,elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Cephalurus cephalus,elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Cephalurus cephalus,elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Cephalurus cephalus,elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Cephalurus cephalus,elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Cephalurus cephalus,elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"hard slope, soft slope, hard shelf, soft shelf, deep water",hardslopesoftslopehardshelfsoftshelfdeepwater,Cephalurus cephalus,elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"hard slope, soft slope, hard shelf, soft shelf, deep water",hardslopesoftslopehardshelfsoftshelfdeepwater,Cephalurus cephalus,elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Cephalurus cephalus,elasmobranchs,NA
spatial scale of species,depth (min/max),155 - 927 m,155927m,Cephalurus cephalus,elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Cephalurus cephalus,elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Cephalurus cephalus,elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Cephalurus cephalus,elasmobranchs,NA
r (reproductive traits),fecundity,unknown,unknown,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),parental investment,egg-layer (unattended) / live birth,egglayerunattendedlivebirth,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"hard slope, soft slope, hard shelf, soft shelf, deep water",hardslopesoftslopehardshelfsoftshelfdeepwater,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"hard slope, soft slope, hard shelf, soft shelf, deep water",hardslopesoftslopehardshelfsoftshelfdeepwater,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),55 - 1326 m,551326m,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Figaro and Galeus spp. (19 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,unknown,unknown,Halaelurus spp. (7 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Halaelurus spp. (7 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Halaelurus spp. (7 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Halaelurus spp. (7 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Halaelurus spp. (7 spp.),elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Halaelurus spp. (7 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Halaelurus spp. (7 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Halaelurus spp. (7 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Halaelurus spp. (7 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"deep soft benthic, soft slope, hard slope, rocky reef, hard shelf, soft shelf",deepsoftbenthicsoftslopehardsloperockyreefhardshelfsoftshelf,Halaelurus spp. (7 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"deep soft benthic, soft slope, hard slope, rocky reef, hard shelf, soft shelf",deepsoftbenthicsoftslopehardsloperockyreefhardshelfsoftshelf,Halaelurus spp. (7 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Halaelurus spp. (7 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),37 - 290 m,37290m,Halaelurus spp. (7 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Halaelurus spp. (7 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Halaelurus spp. (7 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Halaelurus spp. (7 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,unknown,unknown,Haploblepharus spp. (4 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Haploblepharus spp. (4 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Haploblepharus spp. (4 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Haploblepharus spp. (4 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Haploblepharus spp. (4 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Haploblepharus spp. (4 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Haploblepharus spp. (4 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Haploblepharus spp. (4 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"soft shelf, hard shelf, rocky reef, kelp forest, beach, rocky intertidal",softshelfhardshelfrockyreefkelpforestbeachrockyintertidal,Haploblepharus spp. (4 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"soft shelf, hard shelf, rocky reef, kelp forest, beach, rocky intertidal",softshelfhardshelfrockyreefkelpforestbeachrockyintertidal,Haploblepharus spp. (4 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Haploblepharus spp. (4 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),0 - 288 m,0288m,Haploblepharus spp. (4 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Haploblepharus spp. (4 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Haploblepharus spp. (4 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Haploblepharus spp. (4 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,unknown,unknown,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"hard slope, soft slope, hard shelf, soft shelf",hardslopesoftslopehardshelfsoftshelf,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"hard slope, soft slope, hard shelf, soft shelf",hardslopesoftslopehardshelfsoftshelf,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),40 - 910 m,40910m,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Holohalaelurus spp. (5 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,unknown,unknown,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, deep hard bottom",deepwaterdeepsoftbenthicsoftslopehardslopedeephardbottom,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, deep hard bottom",deepwaterdeepsoftbenthicsoftslopehardslopedeephardbottom,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),84 - 1251 m,841251m,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Parmaturus and Pentanchus spp. (10 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,1 to 5,1to5,Poroderma spp. (2 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,10 yrs (not sure which box to put that in),10yrsnotsurewhichboxtoputthatin,Poroderma spp. (2 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Poroderma spp. (2 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Poroderma spp. (2 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Poroderma spp. (2 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Poroderma spp. (2 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"coral reef, rocky reef, kelp forest, soft slope, hard slope, rocky intertidal",coralreefrockyreefkelpforestsoftslopehardsloperockyintertidal,Poroderma spp. (2 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"coral reef, rocky reef, kelp forest, soft slope, hard slope, rocky intertidal",coralreefrockyreefkelpforestsoftslopehardsloperockyintertidal,Poroderma spp. (2 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Poroderma spp. (2 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),0 - 256 m,0256m,Poroderma spp. (2 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Poroderma spp. (2 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Poroderma spp. (2 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Poroderma spp. (2 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,unknown,unknown,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,broad,broad,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelf,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelf,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),0 - 754 m,0754m,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - >1000 mm,50>1000mm,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Schroederichthys and Scyliorhinus spp. (20 spp.),elasmobranchs,NA
movement,adult mobility,"mobile resident, horizontal migrator",mobileresidenthorizontalmigrator,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,2 to 10,2to10,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
r (reproductive traits),global population size,1 K - 100 K,1k100k,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,narrow,narrow,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
physiological tolerance breadths,dissolved oxygen,unknown,unknown,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"beach, coral reef, seagrass, intertidal mud, mangrove",beachcoralreefseagrassintertidalmudmangrove,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"beach, coral reef, seagrass, intertidal mud, mangrove",beachcoralreefseagrassintertidalmudmangrove,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",unknown,unknown,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),0 - 88 m,088m,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Sawfish (Pristidae - 5 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,5 to 20,5to20,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,narrow,narrow,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach, surface water, seagrass, mangroce, intertidal mud",coralreefsoftshelfsoftslopebeachsurfacewaterseagrassmangroceintertidalmud,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach, surface water, seagrass, mangroce, intertidal mud",coralreefsoftshelfsoftslopebeachsurfacewaterseagrassmangroceintertidalmud,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),0 - 70 m,070m,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - > 1000 m,50>1000m,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Wedgefish (Rhinidae - 10 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,1 to 10,1to10,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,9 - 25,925,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,3 - 8 yrs,38yrs,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,narrow,narrow,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach, surface water, seagrass, mangroce, intertidal mud",coralreefsoftshelfsoftslopebeachsurfacewaterseagrassmangroceintertidalmud,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach, surface water, seagrass, mangroce, intertidal mud",coralreefsoftshelfsoftslopebeachsurfacewaterseagrassmangroceintertidalmud,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
spatial scale of species,depth (min/max),0 - 200 m,0200m,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - >1000 mm,50>1000mm,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Guitarfishes (Rhinobatidae - 31 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,5 to 20,5to20,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,10 - 15,1015,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,4 - 8 yrs,48yrs,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,broad,broad,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,narrow,narrow,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
physiological tolerance breadths,ph,broad,broad,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach, surface water, seagrass, mangroce, intertidal mud",coralreefsoftshelfsoftslopebeachsurfacewaterseagrassmangroceintertidalmud,Giant Guitarfish (Glaucostegidae - 6 spp),elasmobranchs,NA
